s1,s2,s0,accuracy
25,20,25,0.380131579
25,25,25,0.379736842
5,15,23,0.379078947
25,10,25,0.378815789
15,15,23,0.378486842
15,25,25,0.377960526
25,5,25,0.377894737
10,25,25,0.377368421
15,5,23,0.377368421
15,10,23,0.377302632
20,25,25,0.377302632
10,15,30,0.376907895
5,25,25,0.376578947
10,20,30,0.376513158
25,15,25,0.376052632
20,25,38,0.375723684
10,5,20,0.375460526
10,10,10,0.375460526
10,10,20,0.375394737
20,5,30,0.375328947
15,20,20,0.375197368
10,15,23,0.375065789
25,10,38,0.375065789
5,5,10,0.375
20,15,20,0.375
10,5,10,0.374934211
15,10,30,0.374934211
5,15,30,0.374868421
5,10,10,0.374736842
25,20,38,0.374473684
20,15,30,0.374013158
20,10,20,0.373815789
10,25,38,0.373486842
20,10,30,0.373289474
10,20,20,0.372828947
15,25,38,0.372565789
5,20,20,0.372236842
15,15,30,0.372171053
15,5,30,0.371973684
20,20,30,0.371907895
25,15,38,0.371842105
5,20,30,0.371578947
5,25,38,0.371578947
20,20,20,0.371578947
25,5,38,0.371578947
20,25,50,0.371381579
5,5,8,0.371184211
25,25,38,0.370592105
10,25,50,0.370526316
15,20,30,0.370263158
20,5,20,0.369934211
25,25,50,0.369934211
5,10,20,0.369868421
25,15,50,0.369473684
25,20,50,0.368421053
15,25,50,0.368355263
10,15,15,0.367236842
5,25,50,0.367105263
20,10,40,0.366381579
15,20,40,0.366315789
5,10,15,0.365986842
20,5,40,0.365789474
15,5,15,0.365394737
20,20,40,0.365197368
10,5,15,0.365065789
10,10,15,0.365065789
15,15,15,0.364868421
10,20,40,0.364013158
15,10,15,0.36375
25,5,50,0.363618421
5,5,5,0.363223684
5,20,40,0.362697368
20,15,40,0.362368421
5,15,15,0.362302632
25,10,50,0.361842105
